AÑO,PERSONA,TIPO DE SERVICIO,NOMBRE DE LA TAREA,MODALIDAD,COMPLEJIDAD
2020,ID_299,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_300,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_301,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_302,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_303,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_304,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_305,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_306,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_307,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_308,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_309,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_310,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_311,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_312,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_313,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_314,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_315,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_316,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_317,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_318,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_319,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_320,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_321,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_322,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_323,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_30,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_16,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_32,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_31,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_58,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_7,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_22,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_33,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_37,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_17,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_296,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_297,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_324,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_325,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_326,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_327,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_328,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_329,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_92,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_41,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
